type sample_L2
pb 15000.0
clip_bound 20.0
log_path log/Alexnet/sample_L2/True/0
train_data data
test_data data
batch_size 64
test_batch_size 64
lr 0.0002
momentum 0.5
no_cuda False
seed 1
log_interval 1
privacy_delta 1e-06
sample_num 500
islog True
is_ratio_list True
num_clients 2
num_rounds 10
epochs 1
ratio_type 0
按照权重分配eps
权重越大,eps越大,噪声越小
device cuda
loading data
load data done
AlexNet(
  (conv1): Sequential(
    (0): Conv2d(3, 96, kernel_size=(6, 6), stride=(1, 1))
    (1): ReLU()
  )
  (conv2): Sequential(
    (0): Conv2d(96, 256, kernel_size=(5, 5), stride=(1, 1), padding=(2, 2))
    (1): ReLU()
    (2): MaxPool2d(kernel_size=3, stride=2, padding=0, dilation=1, ceil_mode=False)
  )
  (conv3): Sequential(
    (0): Conv2d(256, 384, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (1): ReLU()
  )
  (conv4): Sequential(
    (0): Conv2d(384, 384, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (1): ReLU()
  )
  (conv5): Sequential(
    (0): Conv2d(384, 256, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (1): ReLU()
    (2): MaxPool2d(kernel_size=3, stride=2, padding=0, dilation=1, ceil_mode=False)
  )
  (dense): Sequential(
    (0): Linear(in_features=9216, out_features=4096, bias=True)
    (1): ReLU()
    (2): Dropout(p=0.5, inplace=False)
    (3): Linear(in_features=4096, out_features=4096, bias=True)
    (4): ReLU()
    (5): Dropout(p=0.5, inplace=False)
    (6): Linear(in_features=4096, out_features=10, bias=True)
  )
)
********start training********
start_round_time 2021-07-04 15:15:51
******client id  0 ******
client_update start
2021-07-04 15:17:03  client id= 0 ,round= 1 ,epoch= 1 ,client update iteration= 390 ,loss= 1.5339685678482056
******client id  1 ******
client_update start
2021-07-04 15:17:05  client id= 1 ,round= 1 ,epoch= 1 ,client update iteration= 10 ,loss= 2.262746572494507
2021-07-04 15:17:07  client id= 1 ,round= 1 ,epoch= 1 ,client update iteration= 20 ,loss= 2.152491807937622
2021-07-04 15:17:09  client id= 1 ,round= 1 ,epoch= 1 ,client update iteration= 30 ,loss= 2.1578845977783203
2021-07-04 15:17:11  client id= 1 ,round= 1 ,epoch= 1 ,client update iteration= 40 ,loss= 2.090812921524048
2021-07-04 15:17:13  client id= 1 ,round= 1 ,epoch= 1 ,client update iteration= 50 ,loss= 2.081047534942627
2021-07-04 15:17:15  client id= 1 ,round= 1 ,epoch= 1 ,client update iteration= 60 ,loss= 1.9096726179122925
2021-07-04 15:17:17  client id= 1 ,round= 1 ,epoch= 1 ,client update iteration= 70 ,loss= 1.7065579891204834
2021-07-04 15:17:18  client id= 1 ,round= 1 ,epoch= 1 ,client update iteration= 80 ,loss= 1.896840214729309
2021-07-04 15:17:20  client id= 1 ,round= 1 ,epoch= 1 ,client update iteration= 90 ,loss= 1.7190587520599365
2021-07-04 15:17:22  client id= 1 ,round= 1 ,epoch= 1 ,client update iteration= 100 ,loss= 1.8144091367721558
2021-07-04 15:17:24  client id= 1 ,round= 1 ,epoch= 1 ,client update iteration= 110 ,loss= 1.6894631385803223
2021-07-04 15:17:26  client id= 1 ,round= 1 ,epoch= 1 ,client update iteration= 120 ,loss= 1.773581862449646
2021-07-04 15:17:28  client id= 1 ,round= 1 ,epoch= 1 ,client update iteration= 130 ,loss= 1.9070128202438354
2021-07-04 15:17:30  client id= 1 ,round= 1 ,epoch= 1 ,client update iteration= 140 ,loss= 1.8632524013519287
2021-07-04 15:17:31  client id= 1 ,round= 1 ,epoch= 1 ,client update iteration= 150 ,loss= 1.9785348176956177
2021-07-04 15:17:33  client id= 1 ,round= 1 ,epoch= 1 ,client update iteration= 160 ,loss= 1.7010650634765625
2021-07-04 15:17:35  client id= 1 ,round= 1 ,epoch= 1 ,client update iteration= 170 ,loss= 1.714698314666748
2021-07-04 15:17:37  client id= 1 ,round= 1 ,epoch= 1 ,client update iteration= 180 ,loss= 1.6236531734466553
2021-07-04 15:17:39  client id= 1 ,round= 1 ,epoch= 1 ,client update iteration= 190 ,loss= 1.6728746891021729
2021-07-04 15:17:41  client id= 1 ,round= 1 ,epoch= 1 ,client update iteration= 200 ,loss= 1.6501195430755615
2021-07-04 15:17:43  client id= 1 ,round= 1 ,epoch= 1 ,client update iteration= 210 ,loss= 1.6649599075317383
2021-07-04 15:17:44  client id= 1 ,round= 1 ,epoch= 1 ,client update iteration= 220 ,loss= 1.5089589357376099
2021-07-04 15:17:46  client id= 1 ,round= 1 ,epoch= 1 ,client update iteration= 230 ,loss= 1.791419506072998
2021-07-04 15:17:48  client id= 1 ,round= 1 ,epoch= 1 ,client update iteration= 240 ,loss= 1.4603688716888428
2021-07-04 15:17:50  client id= 1 ,round= 1 ,epoch= 1 ,client update iteration= 250 ,loss= 1.5674549341201782
2021-07-04 15:17:52  client id= 1 ,round= 1 ,epoch= 1 ,client update iteration= 260 ,loss= 1.4805824756622314
2021-07-04 15:17:54  client id= 1 ,round= 1 ,epoch= 1 ,client update iteration= 270 ,loss= 1.4593476057052612
2021-07-04 15:17:55  client id= 1 ,round= 1 ,epoch= 1 ,client update iteration= 280 ,loss= 1.509020447731018
2021-07-04 15:17:57  client id= 1 ,round= 1 ,epoch= 1 ,client update iteration= 290 ,loss= 1.6318504810333252
2021-07-04 15:17:59  client id= 1 ,round= 1 ,epoch= 1 ,client update iteration= 300 ,loss= 1.5478345155715942
2021-07-04 15:18:01  client id= 1 ,round= 1 ,epoch= 1 ,client update iteration= 310 ,loss= 1.4692243337631226
2021-07-04 15:18:03  client id= 1 ,round= 1 ,epoch= 1 ,client update iteration= 320 ,loss= 1.3781769275665283
2021-07-04 15:18:05  client id= 1 ,round= 1 ,epoch= 1 ,client update iteration= 330 ,loss= 1.3537304401397705
2021-07-04 15:18:07  client id= 1 ,round= 1 ,epoch= 1 ,client update iteration= 340 ,loss= 1.5736973285675049
2021-07-04 15:18:08  client id= 1 ,round= 1 ,epoch= 1 ,client update iteration= 350 ,loss= 1.4963573217391968
2021-07-04 15:18:10  client id= 1 ,round= 1 ,epoch= 1 ,client update iteration= 360 ,loss= 1.6237157583236694
2021-07-04 15:18:12  client id= 1 ,round= 1 ,epoch= 1 ,client update iteration= 370 ,loss= 1.393082857131958
2021-07-04 15:18:14  client id= 1 ,round= 1 ,epoch= 1 ,client update iteration= 380 ,loss= 1.4110949039459229
2021-07-04 15:18:16  client id= 1 ,round= 1 ,epoch= 1 ,client update iteration= 390 ,loss= 1.5112718343734741
end_round_time 2021-07-04 15:18:16
start add noise 2021-07-04 15:18:16
layer= 0 ratio= 0.21043713717439497
layer= 1 ratio= 0.2115202672319109
